id;color;engine;type_fuel
1;grey;Directives application Home Loan Account;Dam
2;yellow;Trace;Savings Account alarm
3;red;Producer;Implementation Electronics Officer
4;orchid;Home Loan Account;web-readiness
5;orange;Investment Account Steel;Coordinator
6;white;Licensed Savings Account;Cambridgeshire Mississippi
7;green;Credit Card Account Table Small Frozen Sausages;South Dakota envisioneer Music
8;white;Monitored Bahamian Dollar Investment Account;Games Regional Digitized
9;olive;hardware Costa Rica Mayotte;Industrial
10;fuchsia;Views e-enable Communications;National Awesome sky blue
